timestamp,sha,bin_bytes,wasm_bytes,js_bytes,css_bytes
2025-10-11T20:27:35Z,3476e6233a2f14c6e776b37400f6a9b095f346d8,8813984,135773,13211,104041
2025-10-11T20:45:52Z,082d53b9e5f16b5152465d8e53736266bdf1aad3,8813984,135773,13211,103712
2025-10-11T20:55:00Z,b67ff2d3d1310d9a6fd694e5b19e3c50f3273b19,8813984,135773,13211,103712
2025-10-11T21:03:27Z,b6677553f70a339ceb3c667acf06d8f84dd1bbff,8813984,135773,13211,103712
2025-10-11T21:24:03Z,13302acef30a2cd03a1ae9b6b05f36bc9d3062c4,8813984,135773,13211,104478
2025-10-11T22:05:07Z,6042a9d35b54aec4117f6e94bf16abd7ea338c0f,8813984,135773,13211,104478
2025-10-11T22:07:09Z,2a00aab9878c97a9eb6d001e095d9af4baefb2a3,8813984,135773,13211,104478
2025-10-12T10:15:36Z,88b9f6d68950ca5b376e2181da8f83e5ca8a000c,8924832,135362,13211,104478
2025-10-12T10:58:53Z,5f8e15cb550217326fc36eddd04d99e4a67709a0,8924832,135362,13211,104478
2025-10-13T19:30:15Z,60664624ca510fc7f9473f23b750df7460e3b7d8,8927272,136157,13211,104478
2025-10-13T19:30:35Z,f42d6e9573eccaaabd39040650b6d6359cc91abe,8925616,136157,13211,104478
